,noms
2609,1
2611,2
2612,1
2613,1
2620,1
2622,1
2627,5
2628,7
2629,6
2630,7
2631,2
2632,4
2633,2
2634,7
2635,4
2636,5
2637,3
2639,1
2640,1
2641,5
2642,6
2643,2
2645,3
2648,2
2650,1
2652,6
2653,2
2654,7
2656,2
2660,2
2663,3
2664,1
2665,7
2667,1
2672,5
2677,2
2679,7
2682,1
2684,1
2685,2
2686,1
2687,1
2688,2
2690,1
2696,1
2697,1
2700,1
2701,1
2703,5
2704,1
2705,1
2708,1
2709,5
2714,1
2715,1
2716,1
2717,1
2718,1
2719,1
2720,1
2721,1
2722,2
2723,1
2724,1
2726,1
2727,1
2728,2
2730,1
2733,1
2735,1
2736,1
2737,1
2738,1
2742,1
2744,1
2745,2
2746,2
2747,1
2756,5
2757,5
2758,13
2759,3
2761,10
2762,6
2764,13
2765,3
2766,6
2767,2
2768,10
2770,3
2772,2
2773,1
2775,1
2776,5
2777,2
2778,2
2780,2
2781,2
2783,5
2784,1
2785,2
2786,1
2791,1
2792,1
2795,6
2796,1
2797,1
2801,3
2802,2
2803,1
2811,1
2812,1
2813,1
2814,1
2815,1
2816,1
2817,1
2818,1
2819,1
2823,3
2824,2
2827,6
2828,1
2830,3
2831,2
2832,1
2833,1
2835,1
2836,1
2837,3
2838,1
2844,1
2845,1
2846,1
2847,1
2848,1
2849,1
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,1
2857,1
2858,1
2862,1
2864,3
2866,1
2868,1
2870,1
2876,1
2877,1
2878,1
2879,2
2885,7
2886,12
2887,7
2888,6
2889,1
2890,12
2892,2
2895,2
2897,6
2898,7
2899,1
2900,4
2901,2
2903,6
2907,1
2910,3
2911,2
2912,1
2914,3
2918,1
2920,1
2921,4
2922,5
2923,2
2924,3
2925,1
2927,1
2928,1
2929,6
2932,1
2934,3
2940,1
2941,1
2942,2
2943,1
2944,1
2949,3
2951,2
2952,6
2956,3
2957,5
2960,1
2962,2
2969,3
2970,1
2971,1
2972,1
2973,1
2974,1
2975,1
2976,1
2977,1
2978,1
2980,1
2981,1
2984,3
2987,1
2988,1
2990,1
2991,2
2992,1
2993,1
3000,2
3003,1
3012,8
3013,6
3014,4
3015,3
3016,3
3017,1
3018,3
3019,8
3020,3
3021,6
3022,4
3023,2
3024,8
3025,8
3026,3
3028,1
3029,8
3030,4
