name,nom,won
The True Face Of Japan - This Modern Age,[1951],[1951]
The Charms Of Life (Les Charmes De L'Existence),[1951],[]
Medieval Castles,[1951],[]
Muscle Beach,[1951],[]
Scrapbook For 1933,[1951],[]
Sound,[1951],[]
The Magic Canvas,[1951],[]
The Dividing Line,[1951],[]
The Lavender Hill Mob,[1952 1952],[1952]
The Browning Version,[1952 1952 1995],[]
The Magic Box,[1952 1952],[]
The Magic Garden,[1952 1952],[]
The Man In The White Suit,[1952 1952],[]
Never Take No For An Answer,[1952 1952],[]
No Resting Place,[1952 1952],[]
White Corridors,[1952 1952],[]
Beaver Valley,[1952],[1952]
Visit To Picasso (Bezoek aan Picasso),[1952],[]
David,[1952],[]
A Family Affair,[1952 1952],[]
Family Portrait,[1952],[]
Oil For The Twentieth Century,[1952],[]
Out Of True,[1952],[]
Roundabout (La Ronde),[1952],[1952]
An American In Paris,[1952],[]
Detective Story,[1952],[]
Sunday In August (Domenica D'Agosto),[1952],[]
Edward And Caroline (Edouard et Caroline),[1952],[]
Fourteen Hours,[1952],[]
Miss Julie (Fröken Julie),[1952],[]
The Red Badge Of Courage,[1952],[]
The Sound Of Fury,[1952 1952],[]
A Walk In the Sun,[1952],[]
Gerald McBoing Boing,[1952],[1952]
Enterprise,[1952 1952],[]
Henry Moore,[1952],[]
The Isle Of Man TT 1950,[1952],[]
Mother's Day,[1952],[]
We've Come A Long Way,[1952],[]
The Diesel Story,[1952],[]
Four In A Jeep (Die Vier im Jeep),[1952],[1952]
The Good Life,[1952],[]
Power For All,[1952],[]
Ralph Richardson,[1953 1967 1973 1985],[1953]
Jack Hawkins,[1953 1954 1956 1957],[]
James Hayter,[1953],[]
Laurence Olivier,[1953 1956 1958 1960 1961 1963 1970 1974 1976],[1956 1970 1976]
Nigel Patrick,[1953],[]
Alastair Sim,[1953],[]
Vivien Leigh,[1953],[1953]
Phyllis Calvert,[1953],[]
Celia Johnson,[1953 1954 1970],[1970]
Ann Todd,[1953],[]
The Sound Barrier,[1953 1953 1953 1953 1953],[1953 1953 1953]
The African Queen,[1953 1953 1953],[]
Angels One Five,[1953 1953],[]
"Cry, The Beloved Country",[1953 1953 1953],[1953]
Mandy,[1953 1953 1953 1953 1953 1953],[]
An Outcast Of The Islands,[1953 1953],[]
The River,[1953 1953],[]
Royal Journey,[1953],[1953]
Fishermen Of Negombo,[1953],[]
Highlights Of Farnborough 1952,[1953],[]
Journey Into History,[1953],[]
Le Mans 1952,[1953],[]
Nature's Half Acre,[1953],[]
Ocean Terminal,[1953],[]
The Open Window,[1953],[]
Opera School,[1953],[]
Rig 20,[1953],[]
The Streamlined Pig,[1953],[]
The Boy Kumasenu,[1953],[]
Carrie,[1953 1953],[]
Golden Helmet (Casque D'Or),[1953 1953],[1953]
Death Of A Salesman,[1953 1953],[]
Limelight,[1953 1953],[1953]
The Forgotten Ones (Los Olvidados),[1953 1953],[]
Miracle In Milan (Miracolo A Milano),[1953],[]
Rashomon,[1953],[]
Singin' In The Rain,[1953],[]
A Streetcar Named Desire,[1953 1953],[1953]
"Viva, Zapata!",[1953 1953],[1953]
Marlon Brando,[1953 1954 1955 1959 1973 1974 1990],[1953 1954 1955]
Humphrey Bogart,[1953],[]
Pierre Fresnay,[1953 1957],[]
Francesco Golisano,[1953],[]
Fredric March,[1953 1955 1961],[]
Simone Signoret,[1953 1958 1959 1966 1967 1968 1969],[1953 1958 1959]
Edwige Feuillère,[1953],[]
Katharine Hepburn,[1953 1956 1958 1969 1983],[1969 1983]
Judy Holliday,[1953 1955],[]
Nicole Stéphane,[1953],[]
Claire Bloom,[1953],[1953]
Dorothy Alison,[1953],[]
